industry_name,total,dem,repub,year
Agribusiness,19678438,6557712,13120726,2006
Crop Production & Basic Processing,4965501,2378369,2587132,2006
Tobacco,2408244,582500,1825744,2006
Dairy,2319886,784368,1535518,2006
Poultry & Eggs,557332,219899,337433,2006
Livestock,832686,216738,615948,2006
Agricultural Services/Products,3955881,1252647,2703234,2006
Food Processing & Sales,2883365,745060,2138305,2006
Forestry & Forest Products,1726093,370081,1356012,2006
Sugar cane & sugar beets,2550620,1520165,1030455,2006
"Vegetables, fruits and tree nut",714766,246616,468150,2006
Farm bureaus,392116,81000,311116,2006
Communications/Electronics,20928834,7826976,13101858,2006
Printing & Publishing,736140,197635,538505,2006
TV/Movies/Music,3187119,1373855,1813264,2006
Telephone Utilities,5233846,1912473,3321373,2006
Telecom Services,5851518,2371953,3479565,2006
Electronics Mfg & Equip,5415194,1757207,3657987,2006
Internet,505017,213853,291164,2006
Architectural services,119350,71500,47850,2006
Construction,14320616,3681041,10639575,2006
General Contractors,3998144,699740,3298404,2006
Home Builders,3321597,911700,2409897,2006
Special Trade Contractors,1557573,343393,1214180,2006
Construction Services,2889016,1145166,1743850,2006
Building Materials & Equipment,2554286,581042,1973244,2006
"Book, newspaper & periodical publishing",468310,143305,325005,2006
Commercial TV & radio stations,1389019,545833,843186,2006
TV production,2000,2000,0,2006
Motion Picture production & distribution,304644,130084,174560,2006
Recorded Music & music production,497206,237688,259518,2006
Computer software,2050259,603000,1447259,2006
Defense,9890818,3692195,6198623,2006
Defense Aerospace,3974832,1500422,2474410,2006
Defense Electronics,3794324,1426849,2367475,2006
Misc Defense,2121662,764924,1356738,2006
Energy & Natural Resources,22067608,6024112,16043496,2006
Oil & Gas,7446874,1328445,6118429,2006
Mining,1892302,386254,1506048,2006
Electric Utilities,11331450,3827623,7503827,2006
Waste Management,334420,91500,242920,2006
Natural Gas transmission & distribution,1027871,251675,776196,2006
Coal mining,758382,148154,610228,2006
Alternate energy production & services,57550,28500,29050,2006
"Finance, Insurance & Real Estate",58259910,22070318,36189592,2006
Commercial Banks,9782912,3300248,6482664,2006
Savings & Loans,856003,370665,485338,2006
Credit Unions,2944697,1372909,1571788,2006
Finance/Credit Companies,3343281,1337969,2005312,2006
Securities & Investment,8953276,3653969,5299307,2006
Insurance,15831099,5629616,10201483,2006
Real Estate,9343219,4151494,5191725,2006
Accountants,5416466,1625839,3790627,2006
Misc Finance,1788957,627609,1161348,2006
Student loan companies,865000,394000,471000,2006
Payday lenders,239350,82500,156850,2006
Venture capital,819000,269500,549500,2006
Hedge Funds,112600,47100,65500,2006
Mortgage bankers and brokers,2605541,1233022,1372519,2006
Food and kindred products manufacturing,1037469,209583,827886,2006
Meat processing & products,699584,193277,506307,2006
Food stores,1009712,283700,726012,2006
Restaurants & drinking establishments,3337083,407131,2929952,2006
Advertising & public relations services,193456,83984,109472,2006
Funeral services,306700,119450,187250,2006
"Professional sports, arenas & related equip & svcs",186874,98302,88572,2006
Indian Gaming,128654,68236,60418,2006
Correctional facilities constr & mgmt/for-profit,244114,65000,179114,2006
Health,39767519,13588789,26178730,2006
Health Professionals,19163363,6827885,12335478,2006
Hospitals/Nursing Homes,5520637,2165597,3355040,2006
Health Services/HMOs,3541674,1076883,2464791,2006
Pharmaceuticals/Health Products,11475896,3505624,7970272,2006
Dentists,2642922,843699,1799223,2006
Chiropractors,262076,102576,159500,2006
Nurses,1182785,748373,434412,2006
Medical Devices & Supplies,1744148,593024,1151124,2006
Pharmaceutical manufacturing,7259025,2051626,5207399,2006
Nutritional & dietary supplements,156251,73874,82377,2006
For-profit Education,201272,95125,106147,2006
Democratic leadership PAC,12475161,12469661,5500,2006
Republican leadership PAC,29318359,2000,29316359,2006
LGBTQIA Rights & Issues,789381,679018,110363,2006
Lawyers & Lobbyists,14185990,7561116,6624874,2006
Lawyers/Law Firms,12794826,7054101,5740725,2006
Lobbyists,1391164,507015,884149,2006
Teachers unions,3974891,3754648,220243,2006
US Postal Service unions & associations,4973086,4205694,767392,2006
Air transport unions,4270765,3265515,1005250,2006
Transportation,19291644,5721278,13570366,2006
Air Transport,6803795,2250372,4553423,2006
Automotive,5720524,1508870,4211654,2006
Trucking,1317077,256331,1060746,2006
Railroads,3441242,913297,2527945,2006
Sea Transport,1455319,611736,843583,2006
Clothing & accessories,15500,2000,13500,2006
Misc Business,30235122,8548027,21687095,2006
Business Associations,1566095,224099,1341996,2006
Food & Beverage,4422494,731588,3690906,2006
"Beer, Wine & Liquor",5616912,1971305,3645607,2006
Retail Sales,4981943,1431626,3550317,2006
Misc Services,567600,188050,379550,2006
Business Services,1560614,514580,1046034,2006
Recreation/Live Entertainment,292374,105302,187072,2006
Casinos/Gambling,1473242,657076,816166,2006
Lodging/Tourism,493375,124400,368975,2006
Chemical & Related Manufacturing,2595118,556140,2038978,2006
Steel Production,656465,261408,395057,2006
Misc Manufacturing & Distributing,5418991,1646703,3772288,2006
Textiles,69285,15250,54035,2006
Labor,59041869,51479519,7562350,2006
Building Trade Unions,15306478,12814888,2491590,2006
Industrial Unions,10629710,10396860,232850,2006
Transportation Unions,12704948,10339698,2365250,2006
Public Sector Unions,15016064,12868204,2147860,2006
Misc Unions,5384669,5059869,324800,2006
Ideological/Single-Issue,61596328,24036886,37559442,2006
Republican/Conservative,1969735,8116,1961619,2006
Democratic/Liberal,3215222,3198822,16400,2006
Leadership PACs,44535849,13728699,30807150,2006
Foreign & Defense Policy,1188852,660768,528084,2006
Pro-Israel,3002798,1575049,1427749,2006
Women's Issues,694058,614828,79230,2006
Human Rights,2172590,1803178,369412,2006
Environment,504673,430264,74409,2006
Gun Control,48640,44140,4500,2006
Gun Rights,1226996,170138,1056858,2006
Abortion Policy/Anti-Abortion,434908,7500,427408,2006
Abortion Policy/Pro-Abortion Rights,874679,761179,113500,2006
Airlines,1297149,454977,842172,2006
Auto manufacturers,1355570,378670,976900,2006
"Auto dealers, new & used",2941350,881850,2059500,2006
"Auto dealers, foreign imports",747000,74000,673000,2006
Cruise ships & lines,249650,109900,139750,2006
Other,1508992,964230,544762,2006
Non-Profit Institutions,546230,302550,243680,2006
Education,236812,107330,129482,2006
Clergy & Religious Organizations,2000,0,2000,2006
Unknown,204469,84236,120233,2006
