industry_name,total,dem,repub,year
Agribusiness,27364074,9953816,17410258,2020
Crop Production & Basic Processing,9794639,4296598,5498041,2020
Tobacco,1541814,375264,1166550,2020
Dairy,1116500,511250,605250,2020
Poultry & Eggs,839250,240250,599000,2020
Livestock,1609900,351050,1258850,2020
Agricultural Services/Products,6592832,2113324,4479508,2020
Food Processing & Sales,3457088,1165080,2292008,2020
Forestry & Forest Products,2031651,695700,1335951,2020
Sugar cane & sugar beets,6090400,3084100,3006300,2020
"Vegetables, fruits and tree nut",637797,293898,343899,2020
Farm bureaus,958682,219674,739008,2020
Communications/Electronics,27599461,13589481,14009980,2020
Printing & Publishing,443250,182700,260550,2020
TV/Movies/Music,3422530,1862960,1559570,2020
Telephone Utilities,5224699,2427699,2797000,2020
Telecom Services,8595700,4121900,4473800,2020
Electronics Mfg & Equip,6403025,3237065,3165960,2020
Internet,3510257,1757157,1753100,2020
Architectural services,253250,125500,127750,2020
Construction,16265154,5574912,10690242,2020
General Contractors,2674844,518270,2156574,2020
Home Builders,2355500,645500,1710000,2020
Special Trade Contractors,2481243,1029743,1451500,2020
Construction Services,4264817,2037899,2226918,2020
Building Materials & Equipment,4488750,1343500,3145250,2020
"Book, newspaper & periodical publishing",319000,151200,167800,2020
Commercial TV & radio stations,2405870,1254750,1151120,2020
Cable & satellite TV production,13000,7000,6000,2020
Motion Picture production & distribution,166500,107500,59000,2020
Recorded Music & music production,443400,248050,195350,2020
Computer software,1417675,683565,734110,2020
Defense,14410000,6592300,7817700,2020
Defense Aerospace,4733050,2149100,2583950,2020
Defense Electronics,4365700,2078000,2287700,2020
Misc Defense,5311250,2365200,2946050,2020
Energy & Natural Resources,29224684,8805255,20419429,2020
Oil & Gas,12867530,2300999,10566531,2020
Mining,1429399,198000,1231399,2020
Electric Utilities,12455256,5080806,7374450,2020
Waste Management,169850,57500,112350,2020
Natural Gas transmission & distribution,2162350,617300,1545050,2020
Coal mining,661249,11500,649749,2020
Alternate energy production & services,1379899,777250,602649,2020
"Finance, Insurance & Real Estate",85766177,38696922,47069255,2020
Commercial Banks,13050060,4761910,8288150,2020
Savings & Loans,101600,38300,63300,2020
Credit Unions,3343851,1779901,1563950,2020
Finance/Credit Companies,4215300,1824350,2390950,2020
Securities & Investment,13983699,6697700,7285999,2020
Insurance,28148637,12882180,15266457,2020
Real Estate,12065030,5928431,6136599,2020
Accountants,8086100,3756600,4329500,2020
Misc Finance,2771900,1027550,1744350,2020
Student loan companies,255200,125500,129700,2020
Payday lenders,774550,240700,533850,2020
Venture capital,622900,288800,334100,2020
Private Equity & Investment Firms,496000,225000,271000,2020
Hedge Funds,81500,32000,49500,2020
Mortgage bankers and brokers,2347900,1122800,1225100,2020
Food and kindred products manufacturing,1282476,437800,844676,2020
Meat processing & products,518500,152500,366000,2020
Food stores,1149648,374550,775098,2020
Marijuana,61100,48400,12700,2020
Restaurants & drinking establishments,2200500,510000,1690500,2020
Advertising & public relations services,16000,11000,5000,2020
Funeral services,97200,47700,49500,2020
"Professional sports, arenas & related equip & svcs",658800,343500,315300,2020
Indian Gaming,61000,35500,25500,2020
Correctional facilities constr & mgmt/for-profit,490700,101700,389000,2020
Health,49157716,24115203,25042513,2020
Health Professionals,21624337,10784919,10839418,2020
Hospitals/Nursing Homes,4307919,2400969,1906950,2020
Health Services/HMOs,7307510,3488811,3818699,2020
Pharmaceuticals/Health Products,15579450,7315004,8264446,2020
Dentists,2235059,880070,1354989,2020
Chiropractors,190300,120500,69800,2020
Nurses,1216250,630750,585500,2020
Medical Devices & Supplies,2677323,1264430,1412893,2020
Pharmaceutical manufacturing,7808168,3557427,4250741,2020
Nutritional & dietary supplements,289874,130397,159477,2020
For-profit Education,197100,95000,102100,2020
Democratic leadership PAC,29897517,29847517,50000,2020
Republican leadership PAC,29936965,6100,29930865,2020
LGBTQIA Rights & Issues,1472629,1456779,15850,2020
Lawyers & Lobbyists,12509757,7379336,5130421,2020
Lawyers/Law Firms,11924064,7102737,4821327,2020
Lobbyists,585693,276599,309094,2020
Teachers unions,4280192,4234192,46000,2020
US Postal Service unions & associations,4252950,3386700,866250,2020
Air transport unions,5519300,3435800,2083500,2020
Transportation,27615791,11249506,16366285,2020
Air Transport,10609276,4759782,5849494,2020
Automotive,8682925,3222605,5460320,2020
Trucking,1855758,566500,1289258,2020
Railroads,4068236,1719673,2348563,2020
Sea Transport,1526087,634137,891950,2020
Clothing & accessories,23300,6500,16800,2020
Misc Business,37099170,15781501,21317669,2020
Business Associations,2167395,523870,1643525,2020
Food & Beverage,3640249,1027699,2612550,2020
"Beer, Wine & Liquor",5575962,2881707,2694255,2020
Retail Sales,7547982,3371152,4176830,2020
Misc Services,750950,286200,464750,2020
Business Services,684808,217050,467758,2020
Recreation/Live Entertainment,806300,404000,402300,2020
Casinos/Gambling,719500,373500,346000,2020
Lodging/Tourism,2578000,1296100,1281900,2020
Marijuana,61100,48400,12700,2020
Chemical & Related Manufacturing,3010700,1181800,1828900,2020
Steel Production,823941,270800,553141,2020
Misc Manufacturing & Distributing,7633133,3649723,3983410,2020
Textiles,136300,56000,80300,2020
Labor,56967887,49832237,7135650,2020
Building Trade Unions,13747791,11881191,1866600,2020
Industrial Unions,9120798,8831798,289000,2020
Transportation Unions,13035679,9992129,3043550,2020
Public Sector Unions,15696392,13882692,1813700,2020
Misc Unions,5367227,5244427,122800,2020
Ideological/Single-Issue,102616483,55723968,46892515,2020
Republican/Conservative,5399010,25350,5373660,2020
Democratic/Liberal,7199074,7174274,24800,2020
Leadership PACs,66478736,31115224,35363512,2020
Foreign & Defense Policy,712479,576629,135850,2020
Pro-Israel,3288516,1902211,1386305,2020
Women's Issues,2878592,2031546,847046,2020
Human Rights,5553766,5026488,527278,2020
Environment,2180014,2126354,53660,2020
Gun Control,1431154,1411424,19730,2020
Gun Rights,1796920,33640,1763280,2020
Abortion Policy/Anti-Abortion,659086,5000,654086,2020
Abortion Policy/Pro-Abortion Rights,1407585,1407585,0,2020
Airlines,2564200,1215600,1348600,2020
Auto manufacturers,3404386,1706500,1697886,2020
"Auto dealers, new & used",2616550,712715,1903835,2020
"Auto dealers, foreign imports",1063999,117000,946999,2020
Cruise ships & lines,97700,53100,44600,2020
Other,1324233,726333,597900,2020
Non-Profit Institutions,946150,500600,445550,2020
Education,261250,131900,129350,2020
Clergy & Religious Organizations,76733,62733,14000,2020
Unknown,32358,12878,19480,2020
